左云县张家场风电项目,风电,2019/8/28,2019,50,112.723,36.7345,并网,山西省,长治市,沁县,段柳乡
左云县核润新能源有限公司大同左云100MW光伏发电项目,光伏,,,100,112.9435,39.95,规划,山西省,大同市,云冈区,王村街道
左云京能内蒙古乌兰察布凉城49.5兆瓦风电项目,风电,2016/4/8,2016,49.5,112.5166667,40.51666667,并网,内蒙古自治区,乌兰察布市,凉城县,岱海镇
左权县芹泉风电项目,风电,,,100,112.7662862,37.66633605,核准,山西省,晋中市,榆次区,郭家堡乡
遵义县仙人山风电场项目,风电,2015/10/26,2015,49.3,106.8826041,27.58963511,并网,贵州省,遵义市,播州区,桂花桥街道
遵义洪关太阳坪风电场项目,风电,2015/12/21,2015,48,106.8724241,27.65373458,并网,贵州省,遵义市,红花岗区,忠庄街道
邹城赛维太阳能生态园发展有限公司晋中市左权县邹城赛维左权县光伏发电项目5万kw光伏电站,光伏,,,50,113.385452,37.088555,核准,山西省,晋中市,左权县,辽阳镇
资源金紫山风电场工程项目,风电,2011/9/22,2011,49.5,110.5727407,25.82709137,并网,广西壮族自治区,济宁市,邹城市,大束镇
资源金紫山风电场二期工程项目,风电,2012/8/6,2012,49.5,110.6010177,25.81583453,并网,广西壮族自治区,克孜勒苏柯尔克孜自治州,乌恰县,黑孜苇乡
紫峙县砂河镇风电项目,风电,,,100,112.7211217,38.41882375,规划,山西省,忻州市,忻府区,新建路街道
紫金山分散式风电项目,风电,,,6,111.37213,35.61908,核准,山西省,临汾市,侯马市,浍滨街道
紫金广发公司河源市紫金县广州发展紫金好义40MW农业光伏项目4万kW光伏电站,光伏,,,40,115.190448,23.64143,核准,广东省,河源市,紫金县,紫城镇
子洲县枝银农业科技有限公司19.8MW光伏电站项目,光伏,,,19.8,110.1422222,37.36666667,核准,陕西省,榆林市,清涧县,石咀驿镇
子长新能源寺湾风电场50MW风电项目,风电,,,50,109.6812831,37.29665712,核准,陕西省,延安市,子长市,玉家湾镇
子长市南沟岔20万千瓦风电项目,风电,,,200,109.68139,37.148817,规划,陕西省,延安市,子长市,瓦窑堡街道
淄河生态治理20兆瓦光伏发电示范中心项目,光伏,,,20,118.3312008,36.91918836,规划,山东省,淄博市,临淄区,敬仲镇
资兴八面山风电场,风电,2019/7/19,2019,50,113.2406477,25.89433678,并网,湖南省,淄博市,淄川区,双杨镇
卓干山风电场,风电,2015/7/25,2015,36,102.5388659,25.64275252,并网,云南省,淄博市,桓台县,唐山镇
淄博汇祥新能源有限公司高青“渔光结合”30兆瓦光伏发电项目,光伏,,,30,117.833394,37.177269,核准,山东省,淄博市,高青县,田镇街道
装备投资张家口张北玉龙风电四期49.5MW工程项目,风电,2012/10/1,2012,49.5,114.9333,41.052,并网,河北省,淄博市,高青县,田镇街道
装备投资张家口张北玉龙风电三期49.5MW工程项目,风电,2012/3/1,2012,49.5,114.9333,41.05,并网,河北省,淄博市,张店区,傅家镇
